doc_id,text,length
1,宁德时代 2025 年海外营收同比增长 32%,23
2,贵州茅台 发布 2025 年 三季度 财报，毛利率 保持 稳定,31
3,央行 宣布 下调 存款准备金率 0.5 个 百分点,25
4,比亚迪 新能源 汽车 出口 量 创 历史 新高,23
5,沪深 300 指数 收涨 1.2%，成交额 突破 万亿,27
6,跨境电商 出口 规模 连续 三年 两位数 增长,23
7,半导体 设备 进口 额 环比 下降 8%,20
8,光伏 组件 价格 触底 反弹，行业 开工率 回升,24
9,消费 信心 指数 连续 两个月 位于 荣枯线 上方,25
10,钢材 期货 主力 合约 日内 振幅 扩大,20
11,港口 集装箱 吞吐量 同比 增长 6.4%,21
12,人工智能 算力 需求 带动 服务器 出货 增长,23
13,人民币 汇率 双向 波动，跨境 结算 占比 提升,24
14,房地产 销售 面积 降幅 收窄，政策 效应 显现,24
15,航空 客运量 恢复 至 疫情 前 水平,19
16,储能 装机 规模 快速 扩张，锂价 震荡 运行,23
17,生物医药 融资 回暖，创新药 出海 提速,20
18,工业 机器人 产量 保持 两位数 增长,19
19,原油 价格 受 地缘 因素 影响 走强,19
20,数据 要素 市场 建设 加快，交易 规模 扩大,23
